LMG35	WINRATE	NMATCHES	event	PWINRATE	WML20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500B	LMG35V2	LMAVGV2	COUNTERS3	WINRATE3	WMG35	WMAVG	DPC	HHHWR_SUM	HHHWR_AVG
0.086	-3	65	win	44	-0.0048	-131720134	12	-5	3048140131	-1	-1	-3	-1	1	9	174	0.1098	8	-4	-47	0	7	3.5
-0.086	3	-65	lose	56	0.0048	131720134	-12	5	3048140131	1	1	3	1	-1	-9	-174	-0.1098	-8	4	47	0	-7	-3.5
0.0293	-7	165	win	30	0.0895	-96582569	-12	-18	3048126953	-16	-2	9	-1	1	5	-16	0.5238	-17	-13	-274	0	-30	-15.0
-0.0293	7	-165	lose	70	-0.0895	96582569	12	18	3048126953	16	2	-9	1	-1	-5	16	-0.5238	17	13	274	0	30	15.0
0.0459	21	-139	win	57	0.0267	26822744	36	29	3048088526	27	-5	18	2	-1	3	144	0.2997	40	-6	-93	0	65	32.5
-0.0459	-21	139	lose	43	-0.0267	-26822744	-36	-29	3048088526	-27	5	-18	-2	1	-3	-144	-0.2997	-40	6	93	0	-65	-32.5
-0.03	15	192	win	69	-0.0748	13838899	27	17	3048165169	21	-4	14	3	1	-3	-10	0.1501	41	-9	-57	0	44	22.0
0.03	-15	-192	lose	31	0.0748	-13838899	-27	-17	3048165169	-21	4	-14	-3	-1	3	10	-0.1501	-41	9	57	0	-44	-22.0
-0.0357	7	-14	win	50	-0.0017	74626328	6	12	3048135703	9	-2	4	2	7	-4	87	0.0677	-5	-30	-446	0	18	9.0
0.0357	-7	14	lose	50	0.0017	-74626328	-6	-12	3048135703	-9	2	-4	-2	-7	4	-87	-0.0677	5	30	446	0	-18	-9.0
-0.0721	-1	-20	win	52	0.0168	-192959	-10	1	3048200698	4	1	-4	-1	5	-7	-143	-0.1114	13	9	44	0	-9	-4.5
0.0721	1	20	lose	48	-0.0168	192959	10	-1	3048200698	-4	-1	4	1	-5	7	143	0.1114	-13	-9	-44	0	9	4.5
0.2812	30	211	win	50	-0.053	4587638	39	38	3048270162	31	-3	12	4	-2	29	442	0.5151	46	-14	-192	0	77	38.5
-0.2812	-30	-211	lose	50	0.053	-4587638	-39	-38	3048270162	-31	3	-12	-4	2	-29	-442	-0.5151	-46	14	192	0	-77	-38.5
-0.0853	-8	196	win	25	-0.1333	-33285828	-10	-2	3048290719	-14	5	-11	-1	0	-7	-9	-0.025	-22	23	319	0	-12	-6.0
0.0853	8	-196	lose	75	0.1333	33285828	10	2	3048290719	14	-5	11	1	0	7	9	0.025	22	-23	-319	0	12	6.0
-0.053	14	-13	win	64	0.0111	-5249634	18	16	3048303199	25	0	1	1	-1	-5	-105	0.0397	9	-17	-246	0	34	17.0
0.053	-14	13	lose	36	-0.0111	5249634	-18	-16	3048303199	-25	0	-1	-1	1	5	105	-0.0397	-9	17	246	0	-34	-17.0
-0.1676	-15	62	win	50	-0.0119	-11041222	-25	-35	3048288184	-19	0	0	-2	-5	-8	21	0.7253	-20	9	5	0	-60	-30.0
0.1676	15	-62	lose	50	0.0119	11041222	25	35	3048288184	19	0	0	2	5	8	-21	-0.7253	20	-9	-5	0	60	30.0
0.1368	3	-44	win	58	-0.018	-109296219	4	11	3048346411	6	-1	3	1	2	13	143	0.1115	12	14	212	0	15	7.5
-0.1368	-3	44	lose	42	0.018	109296219	-4	-11	3048346411	-6	1	-3	-1	-2	-13	-143	-0.1115	-12	-14	-212	0	-15	-7.5
-0.1718	22	156	win	50	0.0971	-41709645	6	16	3048321039	21	-2	-4	6	-2	-13	-140	-0.1894	9	-23	-354	0	22	11.0
0.1718	-22	-156	lose	50	-0.0971	41709645	-6	-16	3048321039	-21	2	4	-6	2	13	140	0.1894	-9	23	354	0	-22	-11.0
0.1548	0	43	win	50	0.0597	-33432923	14	0	3048379601	-10	-2	5	0	3	16	27	0.23	-19	-32	-446	0	14	7.0
-0.1548	0	-43	lose	50	-0.0597	33432923	-14	0	3048379601	10	2	-5	0	-3	-16	-27	-0.23	19	32	446	0	-14	-7.0
-0.0089	-7	97	win	50	0.0007	-74291332	0	11	3048426587	-5	2	-8	-1	0	-1	19	-0.1252	-5	17	229	0	11	5.5
0.0089	7	-97	lose	50	-0.0007	74291332	0	-11	3048426587	5	-2	8	1	0	1	-19	0.1252	5	-17	-229	0	-11	-5.5
0.086	10	136	win	61	-0.0204	-2432463	13	-10	3048436287	18	-3	3	1	-3	9	130	-0.0594	5	-13	-197	0	3	1.5
-0.086	-10	-136	lose	39	0.0204	2432463	-13	10	3048436287	-18	3	-3	-1	3	-9	-130	0.0594	-5	13	197	0	-3	-1.5
0.1212	-13	173	win	24	0.0024	-22479130	-20	-8	3048404511	-14	3	-17	-1	8	13	133	0.2744	-22	-3	-69	0	-28	-14.0
-0.1212	13	-173	lose	76	-0.0024	22479130	20	8	3048404511	14	-3	17	1	-8	-13	-133	-0.2744	22	3	69	0	28	14.0
0.1523	17	215	win	50	-0.1002	-131148279	32	20	3048452954	15	-1	9	0	0	17	193	-0.4992	4	9	155	0	52	26.0
-0.1523	-17	-215	lose	50	0.1002	131148279	-32	-20	3048452954	-15	1	-9	0	0	-17	-193	0.4992	-4	-9	-155	0	-52	-26.0
-0.0607	6	-87	win	57	-0.0338	-47346111	8	15	3048503481	12	-3	12	0	-2	-6	-56	0.1799	-4	9	170	0	23	11.5
0.0607	-6	87	lose	43	0.0338	47346111	-8	-15	3048503481	-12	3	-12	0	2	6	56	-0.1799	4	-9	-170	0	-23	-11.5
0.2143	-15	-27	win	50	-0.0417	12595110	21	22	3048528917	-19	4	-4	-3	2	19	278	0.238	-20	18	11	0	43	21.5
-0.2143	15	27	lose	50	0.0417	-12595110	-21	-22	3048528917	19	-4	4	3	-2	-19	-278	-0.238	20	-18	-11	0	-43	-21.5
