WINRATE	NMATCHES	event	PWINRATE	WM_L20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500	LM_G35	LM_AVG	COUNTERS	WINRATE3	WM_G35	WM_AVG	DPC	HWR_AVG
0	0	win	50	0	1751682	0	0	2337167320	0	0	0	0	-2	0	0	0.1882	0	0	0	0	0.0
0	0	lose	50	0	-1751682	0	0	2337167320	0	0	0	0	2	0	0	-0.1882	0	0	0	0	0.0
8	2	win	50	0	83417070	8	8	2337222709	8	1	13	6	5	0	0	-0.0681	8	0	10	0	8.0
-8	-2	lose	50	0	-83417070	-8	-8	2337222709	-8	-1	-13	-6	-5	0	0	0.0681	-8	0	-10	0	-8.0
-8	-2	win	50	0	-109414113	-21	0	2337304127	-8	4	-27	4	-4	0	0	0.4495	-8	7	153	0	-10.5
8	2	lose	50	0	109414113	21	0	2337304127	8	-4	27	-4	4	0	0	-0.4495	8	-7	-153	0	10.5
9	-2	win	67	0	-109414113	-36	0	2337412707	9	0	-17	5	-4	-50	-66	0.0101	9	15	46	0	-18.0
-9	2	lose	33	0	109414113	36	0	2337412707	-9	0	17	-5	4	50	66	-0.0101	-9	-15	-46	0	18.0
-17	-5	win	50	0	-74376299	-15	-27	2337474794	-17	2	-17	-3	6	-17	-242	0.2396	-17	-17	-256	0	-21.0
17	5	lose	50	0	74376299	15	27	2337474794	17	-2	17	3	-6	17	242	-0.2396	17	17	256	0	21.0
0	0	win	50	0	1037963	0	0	2337627115	0	0	0	0	-5	0	0	0.3795	0	0	0	0	0.0
0	0	lose	50	0	-1037963	0	0	2337627115	0	0	0	0	5	0	0	-0.3795	0	0	0	0	0.0
0	-5	win	67	0	-74376299	3	0	2337571619	0	-1	-6	-3	6	0	-41	-0.0583	0	-33	-500	0	1.5
0	5	lose	33	0	74376299	-3	0	2337571619	0	1	6	3	-6	0	41	0.0583	0	33	500	0	-1.5
0	0	win	67	0	-24702584	0	15	2337667985	0	1	-25	-2	-1	0	69	0.6604	0	-33	64	0	7.5
0	0	lose	33	0	24702584	0	-15	2337667985	0	-1	25	2	1	0	-69	-0.6604	0	33	-64	0	-7.5
